ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1842,94,1,WIL,9,2,Finished,+40.367
1843,94,50,HAS,10,1,Finished,+54.529
1844,94,25,AMR,11,0,Finished,+57.333
1845,94,23,RBR,12,0,Finished,+58.401
1846,94,8,ALP,13,0,Finished,+62.122
1847,94,21,WIL,14,0,Finished,+74.129
1848,94,61,ALP,15,0,Finished,+81.314
1849,94,13,SAU,16,0,Finished,+81.957
1850,94,30,AT,17,0,Finished,+82.734
1851,94,24,HAS,18,0,Finished,+83.438
1852,94,5,SAU,19,0,Finished,+83.897
1853,94,26,AMR,20,0,Finished,+1 Lap
1854,95,19,MCL,1,25,Finished,01:35:39.435
1855,95,22,MER,2,18,Finished,+15.499
1856,95,16,MCL,3,15,Finished,+16.273
1857,95,12,FER,4,12,Finished,+19.679
1858,95,11,FER,5,10,Finished,+27.993
1859,95,10,RBR,6,8,Finished,+34.395
1860,95,8,ALP,7,6,Finished,+36.002
1861,95,24,HAS,8,4,Finished,+44.244
1862,95,23,RBR,9,2,Finished,+45.061
1863,95,50,HAS,10,1,Finished,+47.594
1864,95,12,MER,11,0,Finished,+48.016
1865,95,1,WIL,12,0,Finished,+48.839
1866,95,6,AT,13,0,Finished,+56.314
1867,95,61,ALP,14,0,Finished,+57.806
1868,95,25,AMR,15,0,Finished,+60.340
1869,95,30,AT,16,0,Finished,+64.435
1870,95,26,AMR,17,0,Finished,+65.489
1871,95,5,SAU,18,0,Finished,+66.872
1872,95,21,WIL,NULL,0,DNF,NULL
1873,95,13,SAU,NULL,0,DSQ,NULL
1874,96,19,MCL,1,25,Finished,01:21:06.758
1875,96,10,RBR,2,18,Finished,+2.843
1876,96,12,FER,3,15,Finished,+8.104
1877,96,16,MCL,4,12,Finished,+9.196
1878,96,22,MER,5,10,Finished,+27.236
1879,96,12,MER,6,8,Finished,+34.688
1880,96,11,FER,7,6,Finished,+39.073
1881,96,21,WIL,8,4,Finished,+64.630
1882,96,1,WIL,9,2,Finished,+66.515
1883,96,6,AT,10,1,Finished,+67.091
1884,96,25,AMR,11,0,Finished,+75.917
1885,96,30,AT,12,0,Finished,+78.451
1886,96,50,HAS,13,0,Finished,+79.194
1887,96,24,HAS,14,0,Finished,+99.723
1888,96,13,SAU,15,0,Finished,+1 Lap
1889,96,26,AMR,16,0,Finished,+1 Lap
1890,96,61,ALP,17,0,Finished,+1 Lap
1891,96,5,SAU,18,0,Finished,+1 Lap
1892,96,23,RBR,NULL,0,DNF,NULL
1893,96,8,ALP,NULL,0,DNF,NULL
1894,97,19,MCL,1,25,Finished,01:28:51.587
1895,97,16,MCL,2,18,Finished,+4.630
1896,97,22,MER,3,15,Finished,+37.644
1897,97,10,RBR,4,12,Finished,+39.956
1898,97,1,WIL,5,10,Finished,+48.067
1899,97,12,MER,6,8,Finished,+55.502
1900,97,12,FER,7,6,Finished,+57.036
1901,97,11,FER,8,4,Finished,+60.186
1902,97,21,WIL,9,2,Finished,+60.577
1903,97,23,RBR,10,1,Finished,+74.434
1904,97,6,AT,11,0,Finished,+74.602
1905,97,24,HAS,12,0,Finished,+82.006
1906,97,8,ALP,13,0,Finished,+90.445
1907,97,13,SAU,14,0,Finished,+1 Lap
1908,97,25,AMR,15,0,Finished,+1 Lap
1909,97,26,AMR,16,0,Finished,+1 Lap
1910,97,30,AT,NULL,0,DNF,NULL
1911,97,5,SAU,NULL,0,DNF,NULL
1912,97,50,HAS,NULL,0,DNF,NULL
1913,97,61,ALP,NULL,0,DNF,NULL
1914,98,10,RBR,1,25,Finished,01:31:33.199
1915,98,16,MCL,2,18,Finished,+6.109
1916,98,19,MCL,3,15,Finished,+12.956
1917,98,11,FER,4,12,Finished,+14.356
1918,98,1,WIL,5,10,Finished,+17.945
1919,98,12,FER,6,8,Finished,+20.774
1920,98,22,MER,7,6,Finished,+22.034
1921,98,21,WIL,8,4,Finished,+22.898
1922,98,6,AT,9,2,Finished,+23.586
1923,98,23,RBR,10,1,Finished,+26.446
1924,98,25,AMR,11,0,Finished,+27.250
1925,98,13,SAU,12,0,Finished,+30.296
1926,98,8,ALP,13,0,Finished,+31.424
1927,98,30,AT,14,0,Finished,+32.511
1928,98,26,AMR,15,0,Finished,+32.993
1929,98,43,ALP,16,0,Finished,+33.411
1930,98,50,HAS,17,0,Finished,+33.808
1931,98,5,SAU,18,0,Finished,+38.572
1932,98,12,MER,NULL,0,DNF,NULL
1933,98,24,HAS,NULL,0,DNF,NULL
1934,99,16,MCL,1,25,Finished,01:40:33.843
1935,99,12,FER,2,18,Finished,+3.131
1936,99,19,MCL,3,15,Finished,+3.658
1937,99,10,RBR,4,12,Finished,+20.572
1938,99,11,FER,5,10,Finished,+51.387
1939,99,6,AT,6,8,Finished,+1 Lap
1940,99,24,HAS,7,6,Finished,+1 Lap
1941,99,30,AT,8,4,Finished,+1 Lap
1942,99,1,WIL,9,2,Finished,+2 Laps
1943,99,21,WIL,10,1,Finished,+2 Laps
1944,99,22,MER,11,0,Finished,+2 Laps
1945,99,50,HAS,12,0,Finished,+2 Laps
1946,99,43,ALP,13,0,Finished,+2 Laps
1947,99,5,SAU,14,0,Finished,+2 Laps
1948,99,26,AMR,15,0,Finished,+2 Laps
1949,99,13,SAU,16,0,Finished,+2 Laps
1950,99,23,RBR,17,0,Finished,+2 Laps
1951,99,12,MER,18,0,Finished,+3 Laps
1952,99,25,AMR,NULL,0,DNF,NULL
1953,99,8,ALP,NULL,0,DNF,NULL
1954,100,19,MCL,1,25,Finished,01:32:57.375
1955,100,16,MCL,2,18,Finished,+2.471
1956,100,12,FER,3,15,Finished,+10.455
1957,100,22,MER,4,12,Finished,+11.359
1958,100,13,SAU,5,10,Finished,+13.648
1959,100,11,FER,6,8,Finished,+15.508
1960,100,6,AT,7,6,Finished,+16.022
